"ciudad","hora","descripcion","fecha","humedad","latitud","lluvia_1h","lluvia_probable","longitud","nubes","pais","presion","sensacion_termica","temperatura","viento"
"Chicago","22:30:00","scattered clouds","2025-05-14","78","41.85","0","true","'-87.65","49","US","1006","22.01","21.74","2.68"
"Chicago","22:40:29","scattered clouds","2025-05-14","79","41.85","0","true","'-87.65","49","US","1006","21.36","21.13","1.79"
"Chicago","22:42:37","scattered clouds","2025-05-14","79","41.85","0","true","'-87.65","49","US","1006","21.36","21.13","2.24"
"Chicago","22:50:46","scattered clouds","2025-05-14","73","41.85","0","true","'-87.65","49","US","1006","20.7","20.67","1.34"
"Chicago","22:50:52","scattered clouds","2025-05-14","73","41.85","0","true","'-87.65","49","US","1006","20.7","20.67","1.34"
"Chicago","23:00:14","scattered clouds","2025-05-14","74","41.85","0","true","'-87.65","49","US","1006","21.04","20.96","0.89"
"Chicago","23:09:07","scattered clouds","2025-05-14","78","41.85","0","true","'-87.65","49","US","1005","21.67","21.43","0.89"
"São Paulo","00:45:42","clear sky","2025-05-09","73","'-23.5475","0","false","'-46.6361","0","BR","1017","23.24","22.98","1.54"
"São Paulo","00:54:58","clear sky","2025-05-09","78","'-23.5475","0","true","'-46.6361","5","BR","1017","22.46","22.15","1.79"
"São Paulo","22:24:50","clear sky","2025-05-14","84","'-23.5475","0","true","'-46.6361","1","BR","1024","17.54","17.54","0.89"
"São Paulo","22:31:47","clear sky","2025-05-14","85","'-23.5475","0","true","'-46.6361","1","BR","1023","17.57","17.54","1.79"
"São Paulo","22:40:22","clear sky","2025-05-14","85","'-23.5475","0","true","'-46.6361","1","BR","1023","17.57","17.54","1.79"
"São Paulo","22:47:08","clear sky","2025-05-14","85","'-23.5475","0","true","'-46.6361","1","BR","1023","17.57","17.54","2.24"
"São Paulo","22:50:35","clear sky","2025-05-14","85","'-23.5475","0","true","'-46.6361","1","BR","1023","17.57","17.54","2.24"
"São Paulo","22:57:13","clear sky","2025-05-14","85","'-23.5475","0","true","'-46.6361","1","BR","1023","17.57","17.54","1.34"
"São Paulo","23:02:20","clear sky","2025-05-14","85","'-23.5475","0","true","'-46.6361","1","BR","1024","17.57","17.54","0.89"
"São Paulo","23:07:34","clear sky","2025-05-14","84","'-23.5475","0","true","'-46.6361","1","BR","1024","17.54","17.54","1.34"
"São Paulo","23:17:48","clear sky","2025-05-14","85","'-23.5475","0","true","'-46.6361","1","BR","1025","17.15","17.16","2.24"
"Berlin","00:38:30","clear sky","2025-05-09","84","52.5244","0","false","13.4105","0","DE","1020","4.83","5.82","1.54"
"Berlin","00:56:15","clear sky","2025-05-09","84","52.5244","0","false","13.4105","0","DE","1020","4.55","5.57","1.54"
"Berlin","22:24:00","overcast clouds","2025-05-14","71","52.5244","0","true","13.4105","100","DE","1010","13.97","14.6","6.26"
"Berlin","22:25:38","overcast clouds","2025-05-14","71","52.5244","0","true","13.4105","100","DE","1010","13.93","14.56","7.6"
"Berlin","22:35:03","overcast clouds","2025-05-14","72","52.5244","0","true","13.4105","100","DE","1010","13.85","14.47","7.6"
"Berlin","22:39:33","overcast clouds","2025-05-14","73","52.5244","0","true","13.4105","100","DE","1010","13.11","13.77","4.72"
"Berlin","22:43:43","overcast clouds","2025-05-14","73","52.5244","0","true","13.4105","100","DE","1010","12.94","13.62","4.72"
"Berlin","22:52:14","overcast clouds","2025-05-14","72","52.5244","0","true","13.4105","100","DE","1010","13.53","14.18","6.71"
"Berlin","22:55:40","overcast clouds","2025-05-14","72","52.5244","0","true","13.4105","100","DE","1010","13.53","14.18","5.36"
"Berlin","23:00:42","overcast clouds","2025-05-14","72","52.5244","0","true","13.4105","100","DE","1010","13.34","14","5.36"
"Berlin","23:00:44","overcast clouds","2025-05-14","72","52.5244","0","true","13.4105","100","DE","1010","13.34","14","5.36"
"Berlin","23:04:37","overcast clouds","2025-05-14","71","52.5244","0","true","13.4105","100","DE","1010","13.31","14","5.36"
"Berlin","23:13:21","overcast clouds","2025-05-14","71","52.5244","0","true","13.4105","100","DE","1010","13.21","13.91","6.26"
"Rio de Janeiro","00:41:46","clear sky","2025-05-09","83","'-22.9028","0","false","'-43.2075","0","BR","1015","25.43","24.73","2.57"
"Rio de Janeiro","00:52:30","clear sky","2025-05-09","83","'-22.9028","0","false","'-43.2075","0","BR","1015","25.43","24.73","2.57"
"Rio de Janeiro","22:24:03","few clouds","2025-05-14","78","'-22.9028","0","true","'-43.2075","23","BR","1022","21.91","21.65","3.58"
"Rio de Janeiro","22:29:05","few clouds","2025-05-14","78","'-22.9028","0","true","'-43.2075","23","BR","1022","21.91","21.65","3.58"
"Rio de Janeiro","22:35:32","scattered clouds","2025-05-14","78","'-22.9028","0","true","'-43.2075","28","BR","1023","21.91","21.65","3.58"
"Rio de Janeiro","22:40:46","scattered clouds","2025-05-14","78","'-22.9028","0","true","'-43.2075","28","BR","1023","21.91","21.65","3.58"
"Rio de Janeiro","22:49:55","scattered clouds","2025-05-14","78","'-22.9028","0","true","'-43.2075","28","BR","1023","21.91","21.65","3.58"
"Rio de Janeiro","22:54:52","scattered clouds","2025-05-14","78","'-22.9028","0","true","'-43.2075","28","BR","1023","21.91","21.65","3.58"
"Rio de Janeiro","23:01:08","scattered clouds","2025-05-14","78","'-22.9028","0","true","'-43.2075","28","BR","1023","21.91","21.65","2.68"
"Rio de Janeiro","23:06:48","scattered clouds","2025-05-14","78","'-22.9028","0","true","'-43.2075","28","BR","1023","21.91","21.65","2.68"
"Rio de Janeiro","23:11:25","scattered clouds","2025-05-14","78","'-22.9028","0","true","'-43.2075","28","BR","1023","21.91","21.65","2.68"
"Tokyo","00:40:44","broken clouds","2025-05-09","69","35.6895","0","true","139.6917","75","JP","1024","19.08","19.29","2.57"
"Tokyo","00:51:20","broken clouds","2025-05-09","70","35.6895","0","true","139.6917","75","JP","1024","19.06","19.25","2.57"
"Tokyo","22:20:19","few clouds","2025-05-14","80","35.6895","0","true","139.6917","12","JP","1022","20.13","19.99","1.62"
"Tokyo","22:25:30","few clouds","2025-05-14","78","35.6895","0","true","139.6917","12","JP","1022","20.66","20.52","1.62"
"Tokyo","22:26:41","few clouds","2025-05-14","78","35.6895","0","true","139.6917","12","JP","1022","20.66","20.52","1.62"
"Tokyo","22:30:30","scattered clouds","2025-05-14","78","35.6895","0","true","139.6917","28","JP","1022","20.66","20.52","1.9"
"Tokyo","22:36:00","scattered clouds","2025-05-14","77","35.6895","0","true","139.6917","28","JP","1022","20.92","20.78","1.9"
"Tokyo","22:46:50","scattered clouds","2025-05-14","75","35.6895","0","true","139.6917","28","JP","1022","21.26","21.13","1.9"
"Tokyo","22:50:00","scattered clouds","2025-05-14","74","35.6895","0","true","139.6917","28","JP","1022","21.27","21.17","1.9"
"Tokyo","22:58:00","scattered clouds","2025-05-14","74","35.6895","0","true","139.6917","28","JP","1022","21.31","21.2","0.45"
"Tokyo","23:09:34","scattered clouds","2025-05-14","74","35.6895","0","true","139.6917","28","JP","1022","20.9","20.83","1.9"
"Tokyo","23:11:26","scattered clouds","2025-05-14","74","35.6895","0","true","139.6917","28","JP","1022","20.9","20.83","1.9"
"Seoul","00:38:31","moderate rain","2025-05-09","88","37.5683","1.05","true","126.9778","100","KR","1011","14.59","14.76","3.6"
"Seoul","00:59:41","moderate rain","2025-05-09","88","37.5683","3.65","true","126.9778","100","KR","1011","14.59","14.76","3.6"
"Seoul","22:27:00","overcast clouds","2025-05-14","96","37.5683","0","true","126.9778","100","KR","1014","16.43","16.24","3.64"
"Seoul","22:27:12","overcast clouds","2025-05-14","96","37.5683","0","true","126.9778","100","KR","1014","16.43","16.24","3.64"
"Seoul","22:37:03","overcast clouds","2025-05-14","96","37.5683","0","true","126.9778","100","KR","1014","16.12","15.96","3.13"
"Seoul","22:43:48","overcast clouds","2025-05-14","96","37.5683","0","true","126.9778","100","KR","1014","16.12","15.96","3.13"
"Seoul","22:48:18","overcast clouds","2025-05-14","96","37.5683","0","true","126.9778","100","KR","1014","16.12","15.96","3.13"
"Seoul","22:55:06","light rain","2025-05-14","96","37.5683","0.1","true","126.9778","100","KR","1014","16.12","15.96","3.13"
"Seoul","23:02:22","overcast clouds","2025-05-14","96","37.5683","0","true","126.9778","100","KR","1014","16.12","15.96","3.13"
"Seoul","23:08:05","overcast clouds","2025-05-14","96","37.5683","0","true","126.9778","100","KR","1014","16.12","15.96","3.13"
"Los Angeles","00:33:59","clear sky","2025-05-09","58","34.0522","0","false","'-118.2437","0","US","1015","23.64","23.7","7.2"
"Los Angeles","00:55:15","clear sky","2025-05-09","58","34.0522","0","false","'-118.2437","0","US","1015","23.57","23.64","7.2"
"Los Angeles","22:18:56","clear sky","2025-05-14","54","34.0522","0","false","'-118.2437","0","US","1015","20.85","21.26","1.79"
"Los Angeles","22:26:11","clear sky","2025-05-14","50","34.0522","0","false","'-118.2437","0","US","1015","21.22","21.69","1.79"
"Los Angeles","22:36:50","clear sky","2025-05-14","50","34.0522","0","false","'-118.2437","0","US","1015","20.98","21.47","4.02"
"Los Angeles","22:46:07","clear sky","2025-05-14","51","34.0522","0","false","'-118.2437","0","US","1015","20.88","21.36","0.89"
"Los Angeles","22:48:34","clear sky","2025-05-14","51","34.0522","0","false","'-118.2437","0","US","1015","20.89","21.37","0.89"
"Los Angeles","22:51:08","clear sky","2025-05-14","49","34.0522","0","false","'-118.2437","0","US","1015","21.44","21.91","1.34"
"Los Angeles","23:02:04","clear sky","2025-05-14","50","34.0522","0","false","'-118.2437","0","US","1015","21.22","21.69","1.34"
"Los Angeles","23:08:01","clear sky","2025-05-14","51","34.0522","0","false","'-118.2437","0","US","1015","21.04","21.5","1.34"
"Los Angeles","23:18:12","clear sky","2025-05-14","51","34.0522","0","false","'-118.2437","0","US","1015","20.75","21.24","1.79"
"Caracas","00:44:04","overcast clouds","2025-05-09","83","10.488","0","true","'-66.8792","100","VE","1015","20.96","20.67","0.51"
"Caracas","00:59:05","drizzle","2025-05-09","100","10.488","0","true","'-66.8792","75","VE","1015","20.3","19.67","2.06"
"Caracas","22:29:33","overcast clouds","2025-05-14","67","10.488","0","true","'-66.8792","100","VE","1011","34.45","30.05","1.35"
"Caracas","22:30:00","overcast clouds","2025-05-14","74","10.488","0","true","'-66.8792","100","VE","1012","34.18","29.28","1.34"
"Caracas","22:32:11","overcast clouds","2025-05-14","76","10.488","0","true","'-66.8792","100","VE","1012","34.51","29.24","1.34"
"Caracas","22:41:34","overcast clouds","2025-05-14","76","10.488","0","true","'-66.8792","100","VE","1012","34.51","29.24","1.34"
"Caracas","22:44:40","overcast clouds","2025-05-14","76","10.488","0","true","'-66.8792","100","VE","1012","34.51","29.24","1.34"
"Caracas","22:47:11","overcast clouds","2025-05-14","79","10.488","0","true","'-66.8792","100","VE","1012","34.85","29.12","1.34"
"Caracas","22:53:03","overcast clouds","2025-05-14","79","10.488","0","true","'-66.8792","100","VE","1012","34.85","29.12","1.34"
"Caracas","22:58:26","overcast clouds","2025-05-14","79","10.488","0","true","'-66.8792","100","VE","1012","34.85","29.12","1.34"
"Caracas","22:59:36","overcast clouds","2025-05-14","79","10.488","0","true","'-66.8792","100","VE","1012","34.85","29.12","1.34"
"Caracas","23:06:38","overcast clouds","2025-05-14","77","10.488","0","true","'-66.8792","100","VE","1012","34.31","29.08","1.34"
"Caracas","23:11:30","overcast clouds","2025-05-14","77","10.488","0","true","'-66.8792","100","VE","1012","34.31","29.08","1.34"
"Caracas","23:13:02","overcast clouds","2025-05-14","77","10.488","0","true","'-66.8792","100","VE","1012","34.31","29.08","1.34"
"Madrid","00:36:21","clear sky","2025-05-09","85","40.4165","0","false","'-3.7026","0","ES","1011","10.53","11.14","4.12"
"Madrid","00:52:43","few clouds","2025-05-09","86","40.4165","0","true","'-3.7026","20","ES","1011","10.36","10.96","4.12"
"Madrid","22:25:12","overcast clouds","2025-05-14","82","40.4165","0","true","'-3.7026","95","ES","1016","11.99","12.54","1.34"
"Madrid","22:25:43","overcast clouds","2025-05-14","82","40.4165","0","true","'-3.7026","95","ES","1016","11.99","12.54","1.34"
"Madrid","22:31:35","overcast clouds","2025-05-14","82","40.4165","0","true","'-3.7026","91","ES","1016","11.99","12.54","1.34"
"Madrid","22:39:52","overcast clouds","2025-05-14","82","40.4165","0","true","'-3.7026","91","ES","1016","11.99","12.54","1.34"
"Madrid","22:42:00","overcast clouds","2025-05-14","82","40.4165","0","true","'-3.7026","91","ES","1016","11.99","12.54","1.34"
"Madrid","22:51:02","overcast clouds","2025-05-14","82","40.4165","0","true","'-3.7026","91","ES","1016","11.99","12.54","1.34"
"Madrid","22:53:11","overcast clouds","2025-05-14","82","40.4165","0","true","'-3.7026","91","ES","1016","11.99","12.54","1.34"
"Madrid","23:05:25","overcast clouds","2025-05-14","82","40.4165","0","true","'-3.7026","91","ES","1016","11.99","12.54","0.89"
"Madrid","23:09:52","overcast clouds","2025-05-14","82","40.4165","0","true","'-3.7026","91","ES","1016","12.14","12.68","0.89"
"Beijing","00:38:31","moderate rain","2025-05-09","86","39.9075","2.73","true","116.3972","100","CN","1010","13.64","13.94","5.45"
"Beijing","00:59:54","heavy intensity rain","2025-05-09","86","39.9075","4.86","true","116.3972","100","CN","1010","13.64","13.94","5.45"
"Beijing","22:26:33","clear sky","2025-05-14","72","39.9075","0","false","116.3972","0","CN","1014","16.05","16.47","3.15"
"Beijing","22:32:20","clear sky","2025-05-14","67","39.9075","0","false","116.3972","0","CN","1014","17.17","17.6","2.51"
"Beijing","22:32:24","clear sky","2025-05-14","67","39.9075","0","false","116.3972","0","CN","1014","17.17","17.6","2.51"
"Beijing","22:38:28","clear sky","2025-05-14","67","39.9075","0","false","116.3972","0","CN","1014","17.17","17.6","2.51"
"Beijing","22:42:22","clear sky","2025-05-14","67","39.9075","0","false","116.3972","0","CN","1014","17.17","17.6","2.51"
"Beijing","22:44:40","clear sky","2025-05-14","67","39.9075","0","false","116.3972","0","CN","1014","17.17","17.6","2.51"
"Beijing","22:52:42","clear sky","2025-05-14","67","39.9075","0","false","116.3972","0","CN","1014","17.17","17.6","2.51"
"Beijing","22:56:10","clear sky","2025-05-14","67","39.9075","0","false","116.3972","0","CN","1014","17.17","17.6","2.51"
"Beijing","23:02:27","clear sky","2025-05-14","67","39.9075","0","false","116.3972","0","CN","1014","17.17","17.6","2.51"
"Beijing","23:05:39","clear sky","2025-05-14","67","39.9075","0","false","116.3972","0","CN","1014","17.17","17.6","2.51"
"Beijing","23:10:28","clear sky","2025-05-14","67","39.9075","0","false","116.3972","0","CN","1014","17.17","17.6","2.51"
"Nairobi","00:35:01","clear sky","2025-05-09","100","'-1.2833","0","false","36.8167","0","KE","1015","14.75","14.62","2.06"
"Nairobi","01:01:42","clear sky","2025-05-09","100","'-1.2833","0","false","36.8167","0","KE","1015","14.75","14.62","2.06"
"Nairobi","22:26:02","few clouds","2025-05-14","96","'-1.2833","0","true","36.8167","22","KE","1018","14.29","14.3","1.53"
"Nairobi","22:30:04","scattered clouds","2025-05-14","97","'-1.2833","0","true","36.8167","34","KE","1017","14.36","14.34","1.44"
"Nairobi","22:38:33","scattered clouds","2025-05-14","97","'-1.2833","0","true","36.8167","34","KE","1017","14.36","14.34","1.44"
"Nairobi","22:45:17","scattered clouds","2025-05-14","97","'-1.2833","0","true","36.8167","34","KE","1017","14.36","14.34","1.44"
"Nairobi","22:50:32","scattered clouds","2025-05-14","97","'-1.2833","0","true","36.8167","34","KE","1017","14.36","14.34","1.44"
"Nairobi","22:55:17","scattered clouds","2025-05-14","97","'-1.2833","0","true","36.8167","34","KE","1017","14.36","14.34","1.44"
"Nairobi","22:58:07","scattered clouds","2025-05-14","97","'-1.2833","0","true","36.8167","34","KE","1017","14.36","14.34","1.44"
"Nairobi","23:10:17","scattered clouds","2025-05-14","97","'-1.2833","0","true","36.8167","34","KE","1017","14.36","14.34","1.44"
"London","00:36:02","clear sky","2025-05-09","82","51.5085","0","true","'-0.1257","4","GB","1021","6.01","7.45","2.24"
"London","01:00:18","clear sky","2025-05-09","83","51.5085","0","true","'-0.1257","5","GB","1021","5.91","7.36","2.24"
"London","22:26:45","broken clouds","2025-05-14","74","51.5085","0","true","'-0.1257","80","GB","1023","10.64","11.5","1.34"
"London","22:26:53","broken clouds","2025-05-14","74","51.5085","0","true","'-0.1257","80","GB","1023","10.64","11.5","1.34"
"London","22:33:23","broken clouds","2025-05-14","75","51.5085","0","true","'-0.1257","83","GB","1023","10.32","11.19","2.68"
"London","22:44:05","broken clouds","2025-05-14","72","51.5085","0","true","'-0.1257","83","GB","1023","10.4","11.33","1.79"
"London","22:47:15","broken clouds","2025-05-14","73","51.5085","0","true","'-0.1257","83","GB","1023","10.24","11.16","1.79"
"London","22:52:34","broken clouds","2025-05-14","73","51.5085","0","true","'-0.1257","83","GB","1023","10.24","11.16","1.34"
"London","23:03:43","broken clouds","2025-05-14","74","51.5085","0","true","'-0.1257","83","GB","1023","10.04","10.96","2.24"
"London","23:05:09","broken clouds","2025-05-14","74","51.5085","0","true","'-0.1257","83","GB","1023","10.02","10.94","2.24"
"London","23:08:10","broken clouds","2025-05-14","74","51.5085","0","true","'-0.1257","83","GB","1023","10.02","10.94","2.68"
"Johannesburg","00:38:36","clear sky","2025-05-09","67","'-26.2023","0","false","28.0436","0","ZA","1021","11.24","12.21","1.44"
"Johannesburg","01:00:26","clear sky","2025-05-09","61","'-26.2023","0","false","28.0436","0","ZA","1021","11.85","12.91","1.44"
"Johannesburg","22:29:35","overcast clouds","2025-05-14","65","'-26.2023","0","true","28.0436","95","ZA","1026","11.29","12.31","1.71"
"Johannesburg","22:30:15","overcast clouds","2025-05-14","65","'-26.2023","0","true","28.0436","96","ZA","1026","11.29","12.31","1.78"
"Johannesburg","22:34:00","overcast clouds","2025-05-14","79","'-26.2023","0","true","28.0436","96","ZA","1026","10.56","11.31","1.78"
"Johannesburg","22:45:14","overcast clouds","2025-05-14","75","'-26.2023","0","true","28.0436","96","ZA","1026","10.65","11.49","1.78"
"Johannesburg","22:47:29","overcast clouds","2025-05-14","75","'-26.2023","0","true","28.0436","96","ZA","1026","10.65","11.49","1.78"
"Johannesburg","22:55:04","overcast clouds","2025-05-14","75","'-26.2023","0","true","28.0436","96","ZA","1026","10.65","11.49","1.78"
"Johannesburg","23:02:33","overcast clouds","2025-05-14","81","'-26.2023","0","true","28.0436","96","ZA","1026","10.48","11.19","1.78"
"Johannesburg","23:11:24","overcast clouds","2025-05-14","81","'-26.2023","0","true","28.0436","96","ZA","1026","10.48","11.19","1.78"
